independent_var,dependent_var,test_type,f_statistic,p_value,significant,group_stats,assumptions,post_hoc_info,sample_size
edad_meses_nino,zscore_desarrollo_comunicacion,Welch's ANOVA,36.58499351362101,2.150477017633738e-38,True,"{'0-6 meses': {'n': 263, 'mean': np.float64(0.1452372623574145), 'std': np.float64(0.8113989953152417), 'risk_classification': {'normal': 245, 'riesgo': 18, 'pct_normal': 93.15589353612167, 'pct_riesgo': 6.844106463878327}}, '7-12 meses': {'n': 340, 'mean': np.float64(0.43317735294117643), 'std': np.float64(0.6177469461086803), 'risk_classification': {'normal': 337, 'riesgo': 3, 'pct_normal': 99.11764705882354, 'pct_riesgo': 0.8823529411764706}}, '13-18 meses': {'n': 222, 'mean': np.float64(0.33263783783783785), 'std': np.float64(0.5459450225174632), 'risk_classification': {'normal': 219, 'riesgo': 3, 'pct_normal': 98.64864864864865, 'pct_riesgo': 1.3513513513513513}}, '19-24 meses': {'n': 239, 'mean': np.float64(-0.007649372384937245), 'std': np.float64(0.5741090167366683), 'risk_classification': {'normal': 225, 'riesgo': 14, 'pct_normal': 94.14225941422593, 'pct_riesgo': 5.857740585774058}}, '25-36 meses': {'n': 345, 'mean': np.float64(-0.10359333333333333), 'std': np.float64(0.6113151605413953), 'risk_classification': {'normal': 317, 'riesgo': 28, 'pct_normal': 91.88405797101449, 'pct_riesgo': 8.115942028985506}}, '37-48 meses': {'n': 178, 'mean': np.float64(0.01801797752808989), 'std': np.float64(0.7456163433961124), 'risk_classification': {'normal': 163, 'riesgo': 15, 'pct_normal': 91.57303370786516, 'pct_riesgo': 8.426966292134832}}, '49-60 meses': {'n': 138, 'mean': np.float64(-0.24218840579710144), 'std': np.float64(0.6900528928285784), 'risk_classification': {'normal': 122, 'riesgo': 16, 'pct_normal': 88.40579710144928, 'pct_riesgo': 11.594202898550725}}}","{'normality': False, 'homogeneity': False, 'note': 'OK'}",Grupo más afectado: 49-60 meses,1725
edad_meses_nino,zscore_desarrollo_motricidad_gruesa,Welch's ANOVA,8.234642640911394,1.290021713672879e-08,True,"{'0-6 meses': {'n': 263, 'mean': np.float64(-0.2968133079847909), 'std': np.float64(1.1957142684474358), 'risk_classification': {'normal': 211, 'riesgo': 52, 'pct_normal': 80.22813688212928, 'pct_riesgo': 19.771863117870723}}, '7-12 meses': {'n': 340, 'mean': np.float64(-0.09900794117647059), 'std': np.float64(0.6383659324267424), 'risk_classification': {'normal': 307, 'riesgo': 33, 'pct_normal': 90.29411764705883, 'pct_riesgo': 9.705882352941178}}, '13-18 meses': {'n': 222, 'mean': np.float64(-0.4656671171171172), 'std': np.float64(0.7968113850234342), 'risk_classification': {'normal': 169, 'riesgo': 53, 'pct_normal': 76.12612612612612, 'pct_riesgo': 23.873873873873876}}, '19-24 meses': {'n': 239, 'mean': np.float64(-0.4316707112970711), 'std': np.float64(0.8609334073618451), 'risk_classification': {'normal': 185, 'riesgo': 54, 'pct_normal': 77.40585774058577, 'pct_riesgo': 22.594142259414227}}, '25-36 meses': {'n': 345, 'mean': np.float64(-0.24957826086956522), 'std': np.float64(0.7058149870954814), 'risk_classification': {'normal': 297, 'riesgo': 48, 'pct_normal': 86.08695652173914, 'pct_riesgo': 13.91304347826087}}, '37-48 meses': {'n': 178, 'mean': np.float64(-0.22194438202247194), 'std': np.float64(0.7704417783939379), 'risk_classification': {'normal': 141, 'riesgo': 37, 'pct_normal': 79.21348314606742, 'pct_riesgo': 20.786516853932586}}, '49-60 meses': {'n': 138, 'mean': np.float64(-0.1469963768115942), 'std': np.float64(0.6682259351085831), 'risk_classification': {'normal': 127, 'riesgo': 11, 'pct_normal': 92.02898550724638, 'pct_riesgo': 7.971014492753622}}}","{'normality': False, 'homogeneity': False, 'note': 'OK'}",Grupo más afectado: 13-18 meses,1725
edad_meses_nino,zscore_desarrollo_motricidad_fina,Welch's ANOVA,24.978932587046216,7.813852632213414e-27,True,"{'0-6 meses': {'n': 263, 'mean': np.float64(0.03557756653992396), 'std': np.float64(0.7260921782313263), 'risk_classification': {'normal': 247, 'riesgo': 16, 'pct_normal': 93.91634980988593, 'pct_riesgo': 6.083650190114068}}, '7-12 meses': {'n': 340, 'mean': np.float64(-0.33101323529411764), 'std': np.float64(0.7483117694768568), 'risk_classification': {'normal': 287, 'riesgo': 53, 'pct_normal': 84.41176470588235, 'pct_riesgo': 15.588235294117647}}, '13-18 meses': {'n': 222, 'mean': np.float64(-0.22617207207207207), 'std': np.float64(0.8201312680132753), 'risk_classification': {'normal': 189, 'riesgo': 33, 'pct_normal': 85.13513513513513, 'pct_riesgo': 14.864864864864865}}, '19-24 meses': {'n': 239, 'mean': np.float64(-0.28333389121338914), 'std': np.float64(0.8288262324990037), 'risk_classification': {'normal': 213, 'riesgo': 26, 'pct_normal': 89.1213389121339, 'pct_riesgo': 10.87866108786611}}, '25-36 meses': {'n': 345, 'mean': np.float64(0.16551507246376812), 'std': np.float64(0.5572264684631207), 'risk_classification': {'normal': 334, 'riesgo': 11, 'pct_normal': 96.81159420289856, 'pct_riesgo': 3.1884057971014492}}, '37-48 meses': {'n': 178, 'mean': np.float64(0.10901629213483147), 'std': np.float64(0.561412231710227), 'risk_classification': {'normal': 171, 'riesgo': 7, 'pct_normal': 96.06741573033707, 'pct_riesgo': 3.932584269662921}}, '49-60 meses': {'n': 138, 'mean': np.float64(0.08188405797101447), 'std': np.float64(0.5613463505639293), 'risk_classification': {'normal': 136, 'riesgo': 2, 'pct_normal': 98.55072463768117, 'pct_riesgo': 1.4492753623188406}}}","{'normality': False, 'homogeneity': False, 'note': 'OK'}",Grupo más afectado: 7-12 meses,1725
edad_meses_nino,zscore_desarrollo_resolucion_problemas,ANOVA,4.810799482337503,7.059718159642078e-05,True,"{'0-6 meses': {'n': 263, 'mean': np.float64(-0.06139695817490493), 'std': np.float64(0.7469319102948181), 'risk_classification': {'normal': 244, 'riesgo': 19, 'pct_normal': 92.77566539923954, 'pct_riesgo': 7.224334600760455}}, '7-12 meses': {'n': 340, 'mean': np.float64(-0.04717294117647057), 'std': np.float64(0.6739353108121473), 'risk_classification': {'normal': 308, 'riesgo': 32, 'pct_normal': 90.58823529411765, 'pct_riesgo': 9.411764705882353}}, '13-18 meses': {'n': 222, 'mean': np.float64(0.10800495495495498), 'std': np.float64(0.6895794280736601), 'risk_classification': {'normal': 208, 'riesgo': 14, 'pct_normal': 93.69369369369369, 'pct_riesgo': 6.306306306306306}}, '19-24 meses': {'n': 239, 'mean': np.float64(-0.03045564853556487), 'std': np.float64(0.7132951424267213), 'risk_classification': {'normal': 229, 'riesgo': 10, 'pct_normal': 95.81589958158996, 'pct_riesgo': 4.184100418410042}}, '25-36 meses': {'n': 345, 'mean': np.float64(-0.11636376811594203), 'std': np.float64(0.5913202187938145), 'risk_classification': {'normal': 325, 'riesgo': 20, 'pct_normal': 94.20289855072464, 'pct_riesgo': 5.797101449275362}}, '37-48 meses': {'n': 178, 'mean': np.float64(-0.19903764044943822), 'std': np.float64(0.6595935978600034), 'risk_classification': {'normal': 160, 'riesgo': 18, 'pct_normal': 89.8876404494382, 'pct_riesgo': 10.112359550561797}}, '49-60 meses': {'n': 138, 'mean': np.float64(-0.18846014492753624), 'std': np.float64(0.6853041978438922), 'risk_classification': {'normal': 123, 'riesgo': 15, 'pct_normal': 89.13043478260869, 'pct_riesgo': 10.869565217391305}}}","{'normality': False, 'homogeneity': True, 'note': 'OK'}",Grupo más afectado: 37-48 meses,1725
edad_meses_nino,zscore_desarrollo_socio_individual,Welch's ANOVA,16.28359412950348,1.4540173036493468e-17,True,"{'0-6 meses': {'n': 263, 'mean': np.float64(0.06417984790874524), 'std': np.float64(0.8258363600617116), 'risk_classification': {'normal': 240, 'riesgo': 23, 'pct_normal': 91.25475285171103, 'pct_riesgo': 8.745247148288973}}, '7-12 meses': {'n': 340, 'mean': np.float64(0.19976323529411766), 'std': np.float64(0.695719667823177), 'risk_classification': {'normal': 327, 'riesgo': 13, 'pct_normal': 96.17647058823529, 'pct_riesgo': 3.823529411764706}}, '13-18 meses': {'n': 222, 'mean': np.float64(0.26156351351351353), 'std': np.float64(0.5916167526075304), 'risk_classification': {'normal': 217, 'riesgo': 5, 'pct_normal': 97.74774774774775, 'pct_riesgo': 2.2522522522522523}}, '19-24 meses': {'n': 239, 'mean': np.float64(-0.07847489539748953), 'std': np.float64(0.6951970771585565), 'risk_classification': {'normal': 210, 'riesgo': 29, 'pct_normal': 87.86610878661088, 'pct_riesgo': 12.133891213389122}}, '25-36 meses': {'n': 345, 'mean': np.float64(-0.06886637681159422), 'std': np.float64(0.7204444279400847), 'risk_classification': {'normal': 322, 'riesgo': 23, 'pct_normal': 93.33333333333333, 'pct_riesgo': 6.666666666666667}}, '37-48 meses': {'n': 178, 'mean': np.float64(0.017693258426966292), 'std': np.float64(0.5611402232274799), 'risk_classification': {'normal': 172, 'riesgo': 6, 'pct_normal': 96.62921348314607, 'pct_riesgo': 3.3707865168539324}}, '49-60 meses': {'n': 138, 'mean': np.float64(-0.3310413043478261), 'std': np.float64(0.7476626593746032), 'risk_classification': {'normal': 112, 'riesgo': 26, 'pct_normal': 81.15942028985508, 'pct_riesgo': 18.84057971014493}}}","{'normality': False, 'homogeneity': False, 'note': 'OK'}",Grupo más afectado: 49-60 meses,1725
edad_anos_madre,zscore_desarrollo_comunicacion,ANOVA,0.6656249053620809,0.6158831491974481,False,"{'≤20 años': {'n': 156, 'mean': np.float64(0.1650775641025641), 'std': np.float64(0.6475147652145102), 'risk_classification': {'normal': 147, 'riesgo': 9, 'pct_normal': 94.23076923076923, 'pct_riesgo': 5.769230769230769}}, '21-25 años': {'n': 473, 'mean': np.float64(0.11219957716701905), 'std': np.float64(0.69969853578123), 'risk_classification': {'normal': 446, 'riesgo': 27, 'pct_normal': 94.29175475687104, 'pct_riesgo': 5.708245243128964}}, '26-30 años': {'n': 551, 'mean': np.float64(0.1263005444646098), 'std': np.float64(0.644763654612133), 'risk_classification': {'normal': 530, 'riesgo': 21, 'pct_normal': 96.18874773139746, 'pct_riesgo': 3.8112522686025407}}, '31-35 años': {'n': 363, 'mean': np.float64(0.06968347107438018), 'std': np.float64(0.7522171316891838), 'risk_classification': {'normal': 337, 'riesgo': 26, 'pct_normal': 92.8374655647383, 'pct_riesgo': 7.162534435261708}}, '>35 años': {'n': 171, 'mean': np.float64(0.09195672514619882), 'std': np.float64(0.7021639031877105), 'risk_classification': {'normal': 159, 'riesgo': 12, 'pct_normal': 92.98245614035088, 'pct_riesgo': 7.017543859649122}}}","{'normality': False, 'homogeneity': True, 'note': 'OK'}",,1714
edad_anos_madre,zscore_desarrollo_motricidad_gruesa,ANOVA,0.7664179149632493,0.5470542335187277,False,"{'≤20 años': {'n': 156, 'mean': np.float64(-0.3137621794871795), 'std': np.float64(0.8868167856998931), 'risk_classification': {'normal': 121, 'riesgo': 35, 'pct_normal': 77.56410256410257, 'pct_riesgo': 22.435897435897438}}, '21-25 años': {'n': 473, 'mean': np.float64(-0.30090845665961946), 'std': np.float64(0.8405492980357151), 'risk_classification': {'normal': 390, 'riesgo': 83, 'pct_normal': 82.4524312896406, 'pct_riesgo': 17.547568710359407}}, '26-30 años': {'n': 551, 'mean': np.float64(-0.23146043557168783), 'std': np.float64(0.7307456771837374), 'risk_classification': {'normal': 471, 'riesgo': 80, 'pct_normal': 85.48094373865699, 'pct_riesgo': 14.519056261343014}}, '31-35 años': {'n': 363, 'mean': np.float64(-0.28671652892561983), 'std': np.float64(0.8918108810258457), 'risk_classification': {'normal': 301, 'riesgo': 62, 'pct_normal': 82.92011019283747, 'pct_riesgo': 17.079889807162534}}, '>35 años': {'n': 171, 'mean': np.float64(-0.218025730994152), 'std': np.float64(0.9378954400734082), 'risk_classification': {'normal': 146, 'riesgo': 25, 'pct_normal': 85.38011695906432, 'pct_riesgo': 14.619883040935672}}}","{'normality': False, 'homogeneity': True, 'note': 'OK'}",,1714
edad_anos_madre,zscore_desarrollo_motricidad_fina,ANOVA,1.0612457631476813,0.37421893841325315,False,"{'≤20 años': {'n': 156, 'mean': np.float64(-0.16729294871794873), 'std': np.float64(0.7462752166474622), 'risk_classification': {'normal': 138, 'riesgo': 18, 'pct_normal': 88.46153846153845, 'pct_riesgo': 11.538461538461538}}, '21-25 años': {'n': 473, 'mean': np.float64(-0.09309788583509512), 'std': np.float64(0.7178134185211922), 'risk_classification': {'normal': 428, 'riesgo': 45, 'pct_normal': 90.48625792811839, 'pct_riesgo': 9.513742071881607}}, '26-30 años': {'n': 551, 'mean': np.float64(-0.06849219600725952), 'std': np.float64(0.6798135999287437), 'risk_classification': {'normal': 514, 'riesgo': 37, 'pct_normal': 93.28493647912886, 'pct_riesgo': 6.715063520871143}}, '31-35 años': {'n': 363, 'mean': np.float64(-0.032158953168044076), 'std': np.float64(0.779450348087489), 'risk_classification': {'normal': 328, 'riesgo': 35, 'pct_normal': 90.35812672176309, 'pct_riesgo': 9.641873278236915}}, '>35 años': {'n': 171, 'mean': np.float64(-0.058136257309941514), 'std': np.float64(0.7303945324484676), 'risk_classification': {'normal': 160, 'riesgo': 11, 'pct_normal': 93.56725146198829, 'pct_riesgo': 6.432748538011696}}}","{'normality': False, 'homogeneity': True, 'note': 'OK'}",,1714
edad_anos_madre,zscore_desarrollo_resolucion_problemas,ANOVA,1.8692874764488503,0.11325350285265799,False,"{'≤20 años': {'n': 156, 'mean': np.float64(-0.08564743589743591), 'std': np.float64(0.6481848308134098), 'risk_classification': {'normal': 145, 'riesgo': 11, 'pct_normal': 92.94871794871796, 'pct_riesgo': 7.051282051282051}}, '21-25 años': {'n': 473, 'mean': np.float64(-0.09809027484143763), 'std': np.float64(0.6832198743649477), 'risk_classification': {'normal': 434, 'riesgo': 39, 'pct_normal': 91.75475687103594, 'pct_riesgo': 8.24524312896406}}, '26-30 años': {'n': 551, 'mean': np.float64(-0.049636660617059895), 'std': np.float64(0.6621021933473515), 'risk_classification': {'normal': 516, 'riesgo': 35, 'pct_normal': 93.64791288566244, 'pct_riesgo': 6.352087114337568}}, '31-35 años': {'n': 363, 'mean': np.float64(-0.0019561983471074497), 'std': np.float64(0.7119595059826003), 'risk_classification': {'normal': 338, 'riesgo': 25, 'pct_normal': 93.1129476584022, 'pct_riesgo': 6.887052341597796}}, '>35 años': {'n': 171, 'mean': np.float64(-0.1521017543859649), 'std': np.float64(0.6806432961867492), 'risk_classification': {'normal': 155, 'riesgo': 16, 'pct_normal': 90.64327485380117, 'pct_riesgo': 9.35672514619883}}}","{'normality': False, 'homogeneity': True, 'note': 'OK'}",,1714
edad_anos_madre,zscore_desarrollo_socio_individual,ANOVA,1.770736814321218,0.13210909228047985,False,"{'≤20 años': {'n': 156, 'mean': np.float64(0.03849230769230769), 'std': np.float64(0.7084350711285847), 'risk_classification': {'normal': 145, 'riesgo': 11, 'pct_normal': 92.94871794871796, 'pct_riesgo': 7.051282051282051}}, '21-25 años': {'n': 473, 'mean': np.float64(-0.006467441860465118), 'std': np.float64(0.721446899919754), 'risk_classification': {'normal': 432, 'riesgo': 41, 'pct_normal': 91.33192389006342, 'pct_riesgo': 8.668076109936575}}, '26-30 años': {'n': 551, 'mean': np.float64(0.08207822141560799), 'std': np.float64(0.6957739602886414), 'risk_classification': {'normal': 518, 'riesgo': 33, 'pct_normal': 94.01088929219601, 'pct_riesgo': 5.9891107078039925}}, '31-35 años': {'n': 363, 'mean': np.float64(0.05842341597796142), 'std': np.float64(0.7494321023631075), 'risk_classification': {'normal': 335, 'riesgo': 28, 'pct_normal': 92.28650137741047, 'pct_riesgo': 7.7134986225895315}}, '>35 años': {'n': 171, 'mean': np.float64(-0.056294736842105245), 'std': np.float64(0.7286804326002512), 'risk_classification': {'normal': 161, 'riesgo': 10, 'pct_normal': 94.15204678362574, 'pct_riesgo': 5.847953216374268}}}","{'normality': False, 'homogeneity': True, 'note': 'OK'}",,1714
