predictor,domain,chi2_statistic,p_value,degrees_of_freedom,cramers_v,n_observations,contingency_table,p_value_bonferroni
grupo_etnico,cat_zscore_desarrollo_comunicacion,3.5990248213378515,0.165379505848472,2,0.030443981363158183,1725,"cat_zscore_desarrollo_comunicacion  Adequate development  High risk of neurodevelopmental disorders  Risk of neurodevelopmental disorders
grupo_etnico                                                                                                                             
Indígena                                             691                                          6                                    44
No indígena                                          937                                          8                                    39",1.0
grupo_etnico,cat_zscore_desarrollo_motricidad_gruesa,7.698622172476779,0.021294401392517374,2,0.05748733340058335,1725,"cat_zscore_desarrollo_motricidad_gruesa  Adequate development  High risk of neurodevelopmental disorders  Risk of neurodevelopmental disorders
grupo_etnico                                                                                                                                  
Indígena                                                  612                                         33                                    96
No indígena                                               825                                         21                                   138",0.6175376403830038
grupo_etnico,cat_zscore_desarrollo_motricidad_fina,3.237034092141122,0.19819239144935263,2,0.026774325574080386,1725,"cat_zscore_desarrollo_motricidad_fina  Adequate development  High risk of neurodevelopmental disorders  Risk of neurodevelopmental disorders
grupo_etnico                                                                                                                                
Indígena                                                669                                         14                                    58
No indígena                                             908                                         10                                    66",1.0
grupo_etnico,cat_zscore_desarrollo_resolucion_problemas,5.1658921042728485,0.0755510983634762,2,0.0428449768303044,1725,"cat_zscore_desarrollo_resolucion_problemas  Adequate development  High risk of neurodevelopmental disorders  Risk of neurodevelopmental disorders
grupo_etnico                                                                                                                                     
Indígena                                                     674                                          7                                    60
No indígena                                                  923                                          5                                    56",1.0
grupo_etnico,cat_zscore_desarrollo_socio_individual,6.413810501830323,0.04048170032070186,2,0.05059192486713002,1725,"cat_zscore_desarrollo_socio_individual  Adequate development  High risk of neurodevelopmental disorders  Risk of neurodevelopmental disorders
grupo_etnico                                                                                                                                 
Indígena                                                 675                                          7                                    59
No indígena                                              925                                         10                                    49",1.0
area_residencia,cat_zscore_desarrollo_motricidad_gruesa,22.557895729269358,1.2636161873121792e-05,2,0.10919644952938752,1725,"cat_zscore_desarrollo_motricidad_gruesa  Adequate development  High risk of neurodevelopmental disorders  Risk of neurodevelopmental disorders
area_residencia                                                                                                                               
Rural                                                     194                                         19                                    44
Urbano                                                   1243                                         35                                   190",0.00036644869432053196
propiedad_vivienda,cat_zscore_desarrollo_motricidad_gruesa,10.19112736628905,0.00612385374863667,2,0.06892432561766149,1725,"cat_zscore_desarrollo_motricidad_gruesa  Adequate development  High risk of neurodevelopmental disorders  Risk of neurodevelopmental disorders
propiedad_vivienda                                                                                                                            
Alquilada                                                 403                                         21                                    47
Propia                                                   1034                                         33                                   187",0.17759175871046343
propiedad_vivienda,cat_zscore_desarrollo_motricidad_fina,1.510713351238616,0.4698430032966805,2,0.0,1725,"cat_zscore_desarrollo_motricidad_fina  Adequate development  High risk of neurodevelopmental disorders  Risk of neurodevelopmental disorders
propiedad_vivienda                                                                                                                          
Alquilada                                               426                                          9                                    36
Propia                                                 1151                                         15                                    88",1.0
sexo_jefe_hogar,cat_zscore_desarrollo_motricidad_gruesa,1.6008523275327589,0.44913751719029926,2,0.0,1725,"cat_zscore_desarrollo_motricidad_gruesa  Adequate development  High risk of neurodevelopmental disorders  Risk of neurodevelopmental disorders
sexo_jefe_hogar                                                                                                                               
Hombre                                                   1116                                         42                                   173
Mujer                                                     321                                         12                                    61",1.0
sexo_jefe_hogar,cat_zscore_desarrollo_motricidad_fina,2.290303070026952,0.3181756993782295,2,0.012950536688634917,1725,"cat_zscore_desarrollo_motricidad_fina  Adequate development  High risk of neurodevelopmental disorders  Risk of neurodevelopmental disorders
sexo_jefe_hogar                                                                                                                             
Hombre                                                 1224                                         18                                    89
Mujer                                                   353                                          6                                    35",1.0
