"grupo_edad","dominio","n","mean","sd","min","max","q25.25%","q50.50%","q75.75%"
"0-6m","zscore_desarrollo_comunicacion","164","0.100656097560976","0.855660254821026","-3.029","0.9968","-0.2579","0.1916","0.8733"
"0-6m","zscore_desarrollo_motricidad_gruesa","164","-0.706357317073171","1.26694917277208","-6.724","0.6944","-1.1874","-0.5709","0.6621"
"0-6m","zscore_desarrollo_motricidad_fina","164","-0.084334756097561","0.790250023229389","-4.053","1.0387","-0.4888","0.0204","0.5295"
"0-6m","zscore_desarrollo_resolucion_problemas","164","-0.200210365853659","0.808715314225248","-3.5909","0.9656","-0.4028","-0.2917","0.1286"
"0-6m","zscore_desarrollo_socio_individual","164","0.00874024390243904","0.89801229832394","-4.8126","1.1186","-0.2047","-0.0676","0.609475"
"6-12m","zscore_desarrollo_comunicacion","294","0.306345918367347","0.702138872746345","-1.4434","1.7453","-0.2482","0.2689","0.9317"
"6-12m","zscore_desarrollo_motricidad_gruesa","294","0.0530942176870748","0.685256890023597","-2.0568","1.2284","-0.4651","0.1998","0.6085"
"6-12m","zscore_desarrollo_motricidad_fina","294","-0.241776530612245","0.779055541900189","-3.9423","0.9303","-0.7372","-0.2202","0.5101"
"6-12m","zscore_desarrollo_resolucion_problemas","294","0.0111585034013605","0.639972490273047","-1.747","1.0096","-0.4419","0.0472","0.5284"
"6-12m","zscore_desarrollo_socio_individual","294","0.133571088435374","0.732005397423758","-2.0971","1.4881","-0.3829","0.1472","0.76"
"12-18m","zscore_desarrollo_comunicacion","281","0.449337366548043","0.521402772533765","-2.168","1.2168","0.1291","0.4917","0.8542"
"12-18m","zscore_desarrollo_motricidad_gruesa","281","-0.229840213523132","0.687005508856025","-2.426","0.7089","-0.6859","-0.1424","0.3572"
"12-18m","zscore_desarrollo_motricidad_fina","281","-0.0925548042704626","0.682047910539633","-2.5079","1.1024","-0.5768","-0.1962","0.3138"
"12-18m","zscore_desarrollo_resolucion_problemas","281","0.0162814946619217","0.66048939664835","-2.6166","1.0538","-0.3681","0.0932","0.5544"
"12-18m","zscore_desarrollo_socio_individual","281","0.253332384341637","0.589957452507329","-1.8553","1.1892","-0.0608","0.3558","0.6478"
"18-24m","zscore_desarrollo_comunicacion","236","0.13683093220339","0.591906648779108","-2.8176","1.2107","-0.1573","0.1847","0.5267"
"18-24m","zscore_desarrollo_motricidad_gruesa","236","-0.448812288135593","0.884571826785127","-5.0288","0.8373","-0.9217","-0.482","0.067725"
"18-24m","zscore_desarrollo_motricidad_fina","236","-0.356083898305085","0.867156132003659","-4.6843","1.2034","-0.8212","-0.3273","0.1496"
"18-24m","zscore_desarrollo_resolucion_problemas","236","0.0106686440677966","0.765612454344014","-4.54","1.383","-0.4077","0.0994","0.3959"
"18-24m","zscore_desarrollo_socio_individual","236","0.0545661016949152","0.714206356462873","-2.9824","1.1691","-0.2802","-0.0527","0.686"
"24-36m","zscore_desarrollo_comunicacion","332","-0.0984039156626506","0.574244550221368","-1.8351","0.8843","-0.4111","-0.0326","0.346"
"24-36m","zscore_desarrollo_motricidad_gruesa","332","-0.285876807228916","0.739859605795765","-2.3685","0.8742","-0.5678","-0.355","0.1861"
"24-36m","zscore_desarrollo_motricidad_fina","332","0.0830599397590361","0.67727011519344","-2.6239","1.2844","-0.2254","0.234","0.4945"
"24-36m","zscore_desarrollo_resolucion_problemas","332","-0.0385292168674699","0.594064470970513","-1.9776","1.0805","-0.4485","-0.0156","0.4173"
"24-36m","zscore_desarrollo_socio_individual","332","0.0548843373493976","0.657333769731534","-2.8228","1.2089","-0.1883","-0.068","0.3939"
"36-48m","zscore_desarrollo_comunicacion","191","-0.0705303664921466","0.676654435493497","-4.3571","0.8693","-0.4373","-0.0017","0.36635"
"36-48m","zscore_desarrollo_motricidad_gruesa","191","-0.414233507853403","0.766742530193908","-3.2691","0.6723","-1.0169","-0.4538","0.1092"
"36-48m","zscore_desarrollo_motricidad_fina","191","0.0452020942408377","0.577550205332663","-1.9863","0.8976","-0.1839","0.1766","0.5371"
"36-48m","zscore_desarrollo_resolucion_problemas","191","-0.154533507853403","0.594249282733441","-2.0268","0.7408","-0.558","-0.1314","0.2795"
"36-48m","zscore_desarrollo_socio_individual","191","-0.279410471204188","0.675694604322714","-2.611","0.85","-0.6308","-0.3227","0.2494"
"48-60m","zscore_desarrollo_comunicacion","168","-0.0997714285714286","0.760303547019165","-2.2238","0.9968","-0.7135","-0.05035","0.5661"
"48-60m","zscore_desarrollo_motricidad_gruesa","168","-0.0766875","0.686215020873745","-1.7763","0.7312","-0.4234","-0.08165","0.6404"
"48-60m","zscore_desarrollo_motricidad_fina","168","0.20260119047619","0.523858127590749","-2.3934","0.9919","-0.0778","0.2694","0.6167"
"48-60m","zscore_desarrollo_resolucion_problemas","168","-0.217654761904762","0.729382708724008","-3.5177","0.7569","-0.7244","-0.1081","0.3244"
"48-60m","zscore_desarrollo_socio_individual","168","-0.0040654761904762","0.635158242340399","-2.228","0.8138","-0.271","-0.0286","0.3926"
"60m+","zscore_desarrollo_comunicacion","59","-0.18111186440678","0.731590111376381","-2.3306","0.7879","-0.2516","-0.2516","0.2682"
"60m+","zscore_desarrollo_motricidad_gruesa","59","-0.110461016949153","0.670149296288662","-2.1236","0.75","-0.6868","-0.2079","0.51055"
"60m+","zscore_desarrollo_motricidad_fina","59","-0.145705084745763","0.547090726392556","-1.7228","0.6733","-0.5248","-0.1254","0.274"
"60m+","zscore_desarrollo_resolucion_problemas","59","-0.266696610169492","0.668999265750358","-2.8841","0.6558","-0.6717","-0.2292","0.2133"
