edad_meses,dominio,odds_ratio,p_value,ci_lower,ci_upper,significativo
2.0,Riesgo Global,1.1784188034188035,0.47327015863508615,0.7431679797591785,1.8685827620035507,False
2.0,Comunicación,1.09472049689441,0.8047842953760059,0.43249707846531826,2.770915749473309,False
2.0,Motricidad Gruesa,1.8981203007518797,0.015220304526270734,1.1445613130970522,3.1478092391376364,True
2.0,Motricidad Fina,0.6811370447734084,0.5445797683350478,0.2712638228010866,1.710319013320319,False
2.0,Resolución de Problemas,1.578911016461379,0.19652365538887498,0.7707491178599789,3.2344636408082126,False
2.0,Desarrollo Socio-Individual,2.321112515802781,0.014574865994528365,1.2220720940833965,4.408547856628055,True
4.0,Riesgo Global,2.334841628959276,0.0002560903100970593,1.495301241433048,3.6457439352465726,True
4.0,Comunicación,3.1421848739495797,0.0015538937338808192,1.6401443791373833,6.019790640181512,True
4.0,Motricidad Gruesa,2.599373040752351,0.0002032812858872049,1.6097451641576963,4.197397423787639,True
4.0,Motricidad Fina,1.333990341972997,0.4174139257824272,0.6532923248838953,2.7239417404658717,False
4.0,Resolución de Problemas,1.372072072072072,0.38677246654688935,0.646333912088995,2.9127077130697314,False
4.0,Desarrollo Socio-Individual,0.8241341991341992,0.8290798100555286,0.32730438036362103,2.0751240097306645,False
6.0,Riesgo Global,0.3169699534490055,1.4481954654811368e-05,0.1784428002778703,0.5630372939284375,True
6.0,Comunicación,0.16262755102040816,0.039842017689714015,0.022437271657821185,1.1787404794235006,True
6.0,Motricidad Gruesa,0.14703947368421053,2.1818656498548893e-05,0.04626842410372883,0.46728643216502386,True
6.0,Motricidad Fina,0.2090100268323683,0.014404800788082617,0.051006468545454584,0.8564637498386528,True
6.0,Resolución de Problemas,0.24545900834560627,0.02913705598980504,0.05981357417311785,1.0072985206272251,True
6.0,Desarrollo Socio-Individual,0.8170235836269992,0.8413071133826716,0.35046485294932456,1.9046918131309032,False
8.0,Riesgo Global,3.7809885931558935,1.2886056089098945e-07,2.2894512251341377,6.244236428639093,True
8.0,Comunicación,0.49049489395129614,0.42960022571818923,0.11836621594346233,2.0325499051791,False
8.0,Motricidad Gruesa,1.2838752488387526,0.4105410813473059,0.7039913577425402,2.3414146160350864,False
