"dominio","grupo_edad","n","shapiro_stat","shapiro_p","ks_stat","ks_p","normal_shapiro","normal_ks"
"zscore_desarrollo_comunicacion","0-6m",164,0.878343716628773,2.64090173358039e-10,0.200878026306637,3.57229348391108e-06,FALSE,FALSE
"zscore_desarrollo_comunicacion","6-12m",294,0.965774264404242,1.94619731685832e-06,0.103033669127852,0.00389125415866687,FALSE,FALSE
"zscore_desarrollo_comunicacion","12-18m",281,0.947557393705936,1.77529750120374e-08,0.119851819177233,0.000623801387051093,FALSE,FALSE
"zscore_desarrollo_comunicacion","18-24m",236,0.914488697057129,2.15243082838755e-10,0.1229513465892,0.00159306938565629,FALSE,FALSE
"zscore_desarrollo_comunicacion","24-36m",332,0.962952699692324,1.8344628576735e-07,0.129287623507164,3.02563309247939e-05,FALSE,FALSE
"zscore_desarrollo_comunicacion","36-48m",191,0.878098562192218,2.57566882889703e-11,0.11107375224932,0.0179577750587828,FALSE,FALSE
"zscore_desarrollo_comunicacion","48-60m",168,0.948897399739745,9.02953391062662e-06,0.142763083717237,0.00212290685176741,FALSE,FALSE
"zscore_desarrollo_comunicacion","60m+",59,0.873788753464089,1.9112710270778e-05,0.241282627980073,0.00207769744668673,FALSE,FALSE
"zscore_desarrollo_motricidad_gruesa","0-6m",164,0.877989898174454,2.53198645388395e-10,0.175120815475473,8.56083935925067e-05,FALSE,FALSE
"zscore_desarrollo_motricidad_gruesa","6-12m",294,0.971661930300292,1.49408635756862e-05,0.100167963809681,0.00548015456792739,FALSE,FALSE
"zscore_desarrollo_motricidad_gruesa","12-18m",281,0.933610768816313,6.65316347507213e-10,0.126816523623974,0.000237538972634344,FALSE,FALSE
"zscore_desarrollo_motricidad_gruesa","18-24m",236,0.914394262528607,2.1174616088468e-10,0.130891837807828,0.000615254489249817,FALSE,FALSE
"zscore_desarrollo_motricidad_gruesa","24-36m",332,0.961648906340015,1.18964663628564e-07,0.104595277463485,0.0014002183745383,FALSE,FALSE
"zscore_desarrollo_motricidad_gruesa","36-48m",191,0.930460719211513,6.53042171639902e-08,0.143614278899496,0.000757394608347672,FALSE,FALSE
"zscore_desarrollo_motricidad_gruesa","48-60m",168,0.903495386318557,4.80607418042828e-09,0.191271805917162,9.17176810988352e-06,FALSE,FALSE
"zscore_desarrollo_motricidad_gruesa","60m+",59,0.898843815632446,0.00013556383655945,0.184920684897225,0.0353680575698879,FALSE,FALSE
"zscore_desarrollo_motricidad_fina","0-6m",164,0.91035825055294,1.74427128067186e-08,0.146787368449208,0.00170512788712573,FALSE,FALSE
"zscore_desarrollo_motricidad_fina","6-12m",294,0.95194124695595,3.09768118150742e-08,0.0970554883995932,0.00786229788614945,FALSE,FALSE
"zscore_desarrollo_motricidad_fina","12-18m",281,0.951401277659123,4.81051158090365e-08,0.141473233480845,2.60602181749725e-05,FALSE,FALSE
"zscore_desarrollo_motricidad_fina","18-24m",236,0.915281271648435,2.4707782120435e-10,0.176727002440007,7.92113315495335e-07,FALSE,FALSE
"zscore_desarrollo_motricidad_fina","24-36m",332,0.936670773232796,1.07641694811231e-10,0.133421096464709,1.4712070136369e-05,FALSE,FALSE
"zscore_desarrollo_motricidad_fina","36-48m",191,0.922335530129524,1.58611278207791e-08,0.176373472986456,1.38122210655567e-05,FALSE,FALSE
"zscore_desarrollo_motricidad_fina","48-60m",168,0.92281259590203,8.56366813984442e-08,0.169780493267524,0.000124377089841698,FALSE,FALSE
"zscore_desarrollo_motricidad_fina","60m+",59,0.925490963402066,0.00142696688016127,0.175820156474289,0.0521009375618675,FALSE,TRUE
"zscore_desarrollo_resolucion_problemas","0-6m",164,0.889322837039314,1.01696572356851e-09,0.175487513714096,8.20733375977989e-05,FALSE,FALSE
"zscore_desarrollo_resolucion_problemas","6-12m",294,0.955058382169352,7.36875121551738e-08,0.106621446564291,0.00250037402709213,FALSE,FALSE
"zscore_desarrollo_resolucion_problemas","12-18m",281,0.952582300221488,6.59545230934942e-08,0.115749771213612,0.00107381862108513,FALSE,FALSE
"zscore_desarrollo_resolucion_problemas","18-24m",236,0.92800176450943,2.55580640755013e-09,0.105454517279511,0.0105060686121686,FALSE,FALSE
"zscore_desarrollo_resolucion_problemas","24-36m",332,0.956974176636214,2.6901894063934e-08,0.147195804440692,1.12979039168515e-06,FALSE,FALSE
"zscore_desarrollo_resolucion_problemas","36-48m",191,0.939253586895517,3.38797149541717e-07,0.149394978760577,0.000396570305726818,FALSE,FALSE
"zscore_desarrollo_resolucion_problemas","48-60m",168,0.930617994461313,3.09855406569283e-07,0.13822146635848,0.00325946825817236,FALSE,FALSE
"zscore_desarrollo_resolucion_problemas","60m+",59,0.899087645552531,0.000138326864945194,0.136867757134074,0.219009457566897,FALSE,TRUE
"zscore_desarrollo_socio_individual","0-6m",164,0.868623344964613,8.53792946693145e-11,0.210942403187949,9.1735657825609e-07,FALSE,FALSE
"zscore_desarrollo_socio_individual","6-12m",294,0.963026269819824,8.00667923362442e-07,0.10784296177465,0.0021434165369717,FALSE,FALSE
"zscore_desarrollo_socio_individual","12-18m",281,0.968137635416169,6.93574842399675e-06,0.0946836881384209,0.0129691276570842,FALSE,FALSE
"zscore_desarrollo_socio_individual","18-24m",236,0.956362139542019,1.42157992605696e-06,0.0955787221325656,0.0268171649587526,FALSE,FALSE
"zscore_desarrollo_socio_individual","24-36m",332,0.961767765349973,1.23712191685032e-07,0.126792107865369,4.62487897882058e-05,FALSE,FALSE
"zscore_desarrollo_socio_individual","36-48m",191,0.953006956709051,5.97749623939167e-06,0.139165237280476,0.00122473254701483,FALSE,FALSE
