Variable,Dominio,Chi²,p-valor,OR,IC 95%,Magnitud
retardo_crecimiento,Socio Individual,8.01,0.005,2.03,1.26-3.25,Asociación moderada
retardo_crecimiento,Socio Individual,8.01,0.005,2.03,1.26-3.25,Asociación moderada
desnutricion_aguda,Socio Individual,4.05,0.044,1.97,1.07-3.64,Asociación moderada
desnutricion_aguda,Socio Individual,4.05,0.044,1.97,1.07-3.64,Asociación moderada
nacimiento_prematuro,Resolucion Problemas,5.29,0.021,1.60,1.09-2.36,Asociación moderada
nacimiento_prematuro,Resolucion Problemas,5.29,0.021,1.60,1.09-2.36,Asociación moderada
retardo_crecimiento,Motricidad Gruesa,4.60,0.032,1.52,1.05-2.19,Asociación moderada
retardo_crecimiento,Motricidad Gruesa,4.60,0.032,1.52,1.05-2.19,Asociación moderada
grupo_etnico,Resolucion Problemas,4.57,0.033,0.66,0.46-0.95,Sin clasificación
grupo_etnico,Resolucion Problemas,4.57,0.033,0.66,0.46-0.95,Sin clasificación
grupo_etnico,Socio Individual,4.90,0.027,0.65,0.45-0.94,Sin clasificación
grupo_etnico,Socio Individual,4.90,0.027,0.65,0.45-0.94,Sin clasificación
area_residencia,Motricidad Gruesa,12.62,0.000,0.56,0.41-0.77,Sin clasificación
area_residencia,Motricidad Gruesa,12.62,0.000,0.56,0.41-0.77,Sin clasificación
area_residencia,Comunicacion,8.70,0.003,0.48,0.30-0.77,Sin clasificación
area_residencia,Comunicacion,8.70,0.003,0.48,0.30-0.77,Sin clasificación
area_residencia,Socio Individual,15.06,0.000,0.43,0.29-0.66,Sin clasificación
area_residencia,Socio Individual,15.06,0.000,0.43,0.29-0.66,Sin clasificación
area_residencia,Resolucion Problemas,25.13,0.000,0.36,0.24-0.54,Sin clasificación
area_residencia,Resolucion Problemas,25.13,0.000,0.36,0.24-0.54,Sin clasificación
