Dominio,Grupo de Edad,N,Riesgo N (%),OR (IC95%),p-valor
riesgo_global,0-6m,164,73 (44.5%),2.61 (1.73-3.95)*,0.0000
riesgo_global,18-24m,236,87 (36.9%),1.90 (1.30-2.79)*,0.0010
riesgo_global,24-36m,332,91 (27.4%),1.23 (0.85-1.77),0.3071
riesgo_global,36-48m,191,81 (42.4%),2.40 (1.61-3.57)*,0.0000
riesgo_global,48-60m,168,52 (31.0%),1.46 (0.95-2.24),0.0964
riesgo_global,6-12m,294,87 (29.6%),1.37 (0.94-1.99),0.1087
riesgo_global,60m+,59,33 (55.9%),4.13 (2.31-7.41)*,0.0000
Comunicación,0-6m,164,17 (10.4%),16.13 (3.68-70.78)*,0.0000
Comunicación,18-24m,236,10 (4.2%),6.17 (1.34-28.46)*,0.0151
Comunicación,24-36m,332,23 (6.9%),10.38 (2.43-44.44)*,0.0000
Comunicación,36-48m,191,11 (5.8%),8.53 (1.87-38.91)*,0.0023
Comunicación,48-60m,168,24 (14.3%),23.25 (5.42-99.76)*,0.0000
Comunicación,6-12m,294,4 (1.4%),1.92 (0.35-10.59),0.6863
Comunicación,60m+,59,6 (10.2%),15.79 (3.10-80.37)*,0.0005
Motricidad Gruesa,0-6m,164,49 (29.9%),2.57 (1.60-4.12)*,0.0001
Motricidad Gruesa,18-24m,236,53 (22.5%),1.74 (1.11-2.75)*,0.0161
Motricidad Gruesa,24-36m,332,47 (14.2%),0.99 (0.63-1.57),1.0000
Motricidad Gruesa,36-48m,191,59 (30.9%),2.69 (1.71-4.24)*,0.0000
Motricidad Gruesa,48-60m,168,12 (7.1%),0.46 (0.24-0.91)*,0.0228
Motricidad Gruesa,6-12m,294,23 (7.8%),0.51 (0.30-0.88)*,0.0160
Motricidad Gruesa,60m+,59,5 (8.5%),0.56 (0.21-1.48),0.2939
Motricidad Fina,0-6m,164,14 (8.5%),1.16 (0.57-2.34),0.7170
Motricidad Fina,18-24m,236,32 (13.6%),1.94 (1.09-3.47)*,0.0285
Motricidad Fina,24-36m,332,22 (6.6%),0.88 (0.47-1.63),0.7517
Motricidad Fina,36-48m,191,7 (3.7%),0.47 (0.20-1.13),0.1116
Motricidad Fina,48-60m,168,4 (2.4%),0.30 (0.10-0.90)*,0.0314
Motricidad Fina,6-12m,294,47 (16.0%),2.36 (1.37-4.06)*,0.0018
Motricidad Fina,60m+,59,1 (1.7%),0.21 (0.03-1.62),0.1439
Resolución de Problemas,0-6m,164,17 (10.4%),1.92 (0.94-3.90),0.0904
Resolución de Problemas,18-24m,236,14 (5.9%),1.04 (0.50-2.19),1.0000
Resolución de Problemas,24-36m,332,8 (2.4%),0.41 (0.17-0.97),0.0579
Resolución de Problemas,36-48m,191,15 (7.9%),1.41 (0.68-2.93),0.3520
Resolución de Problemas,48-60m,168,24 (14.3%),2.76 (1.42-5.36)*,0.0032
Resolución de Problemas,6-12m,294,26 (8.8%),1.61 (0.84-3.06),0.1531
Resolución de Problemas,60m+,59,8 (13.6%),2.60 (1.06-6.39)*,0.0466
Desarrollo Socio-Individual,0-6m,164,17 (10.4%),5.30 (2.05-13.73)*,0.0003
Desarrollo Socio-Individual,18-24m,236,19 (8.1%),4.01 (1.58-10.22)*,0.0031
Desarrollo Socio-Individual,24-36m,332,19 (5.7%),2.78 (1.10-7.07)*,0.0384
Desarrollo Socio-Individual,36-48m,191,19 (9.9%),5.06 (1.98-12.93)*,0.0003
Desarrollo Socio-Individual,48-60m,168,9 (5.4%),2.59 (0.91-7.42),0.1002
Desarrollo Socio-Individual,6-12m,294,18 (6.1%),2.99 (1.17-7.64)*,0.0207
Desarrollo Socio-Individual,60m+,59,18 (30.5%),20.12 (7.55-53.64)*,0.0000
