Edad (meses),Dominio,OR,IC 95% Inferior,IC 95% Superior,p-valor
2.0,Motricidad Gruesa,1.9,1.14,3.15,0.0152
2.0,Desarrollo Socio-Individual,2.32,1.22,4.41,0.0146
4.0,Riesgo Global,2.33,1.5,3.65,0.0003
4.0,Comunicación,3.14,1.64,6.02,0.0016
4.0,Motricidad Gruesa,2.6,1.61,4.2,0.0002
6.0,Riesgo Global,0.32,0.18,0.56,0.0
6.0,Comunicación,0.16,0.02,1.18,0.0398
6.0,Motricidad Gruesa,0.15,0.05,0.47,0.0
6.0,Motricidad Fina,0.21,0.05,0.86,0.0144
6.0,Resolución de Problemas,0.25,0.06,1.01,0.0291
8.0,Riesgo Global,3.78,2.29,6.24,0.0
8.0,Motricidad Fina,7.08,4.19,11.96,0.0
8.0,Resolución de Problemas,4.16,2.3,7.52,0.0
9.0,Riesgo Global,0.34,0.17,0.7,0.0013
9.0,Comunicación,0.0,0.0,,0.046
9.0,Motricidad Gruesa,0.16,0.04,0.67,0.0024
10.0,Motricidad Gruesa,0.32,0.11,0.88,0.0169
10.0,Motricidad Fina,3.78,2.09,6.83,0.0001
12.0,Riesgo Global,0.4,0.25,0.62,0.0
12.0,Comunicación,0.0,0.0,,0.0002
12.0,Motricidad Gruesa,0.47,0.26,0.84,0.0073
12.0,Desarrollo Socio-Individual,0.08,0.01,0.59,0.0003
14.0,Riesgo Global,0.27,0.13,0.54,0.0
14.0,Motricidad Gruesa,0.35,0.14,0.88,0.0163
16.0,Riesgo Global,2.23,1.34,3.71,0.0023
16.0,Motricidad Gruesa,2.89,1.69,4.94,0.0003
16.0,Desarrollo Socio-Individual,0.0,0.0,,0.0203
18.0,Riesgo Global,2.01,1.3,3.1,0.0021
18.0,Motricidad Gruesa,2.28,1.41,3.68,0.0015
18.0,Motricidad Fina,3.58,2.1,6.09,0.0
18.0,Desarrollo Socio-Individual,0.0,0.0,,0.0022
20.0,Riesgo Global,1.79,1.09,2.92,0.0238
20.0,Motricidad Gruesa,2.38,1.4,4.05,0.0023
22.0,Riesgo Global,0.4,0.22,0.71,0.0011
22.0,Motricidad Gruesa,0.38,0.16,0.87,0.0152
22.0,Desarrollo Socio-Individual,2.05,1.06,3.97,0.0464
24.0,Riesgo Global,2.06,1.34,3.17,0.0011
24.0,Motricidad Gruesa,2.29,1.43,3.67,0.0011
24.0,Motricidad Fina,2.09,1.15,3.8,0.0193
27.0,Riesgo Global,0.27,0.14,0.52,0.0
27.0,Motricidad Gruesa,0.17,0.05,0.53,0.0001
27.0,Motricidad Fina,0.23,0.06,0.96,0.0298
30.0,Riesgo Global,0.56,0.32,0.98,0.0417
30.0,Motricidad Gruesa,0.28,0.1,0.77,0.0059
30.0,Resolución de Problemas,0.17,0.02,1.21,0.0388
36.0,Riesgo Global,1.58,1.05,2.37,0.0298
36.0,Motricidad Gruesa,1.98,1.26,3.13,0.0056
36.0,Motricidad Fina,0.31,0.1,0.99,0.0422
36.0,Resolución de Problemas,2.11,1.16,3.82,0.0185
36.0,Desarrollo Socio-Individual,2.17,1.19,3.93,0.0162
42.0,Motricidad Gruesa,2.87,1.82,4.52,0.0
42.0,Resolución de Problemas,0.14,0.02,0.98,0.0121
48.0,Comunicación,3.49,1.89,6.44,0.0003
48.0,Motricidad Gruesa,0.35,0.15,0.8,0.008
48.0,Resolución de Problemas,3.24,1.85,5.69,0.0002
48.0,Desarrollo Socio-Individual,0.14,0.02,1.0,0.0184
54.0,Comunicación,2.6,1.29,5.22,0.0111
54.0,Motricidad Gruesa,0.4,0.17,0.92,0.0292
54.0,Motricidad Fina,0.13,0.02,0.95,0.012
60.0,Riesgo Global,2.67,1.58,4.51,0.0003
60.0,Desarrollo Socio-Individual,6.4,3.55,11.51,0.0
