Análisis,Chi²,p-valor,OR,IC 95%,Sig.
Análisis global - Riesgo Global,192.50,3.40e-30,N/A,N/A,***
Análisis global - Motricidad Gruesa,176.19,5.40e-27,N/A,N/A,***
Análisis global - Motricidad Fina,157.90,1.91e-23,N/A,N/A,***
Análisis por grupos - Motricidad Gruesa,87.09,4.90e-16,N/A,N/A,***
Análisis global - Desarrollo Socio-Individual,109.92,2.03e-14,N/A,N/A,***
Análisis por grupos - Desarrollo Socio-Individual,65.69,1.09e-11,N/A,N/A,***
8.0 meses - Motricidad Fina,N/A,5.08e-11,7.08,(4.19 - 11.96),***
Análisis por grupos - Comunicación,57.77,4.21e-10,N/A,N/A,***
Análisis global - Resolución de Problemas,83.13,1.15e-09,N/A,N/A,***
Análisis por grupos - Riesgo Global,51.12,8.68e-09,N/A,N/A,***
