Edad - Dominio,OR,IC 95%,p-valor (OR),Sig. OR,Chi²,p-valor (χ²),Sig. χ²,Interpretación
8 meses - Motricidad Fina,7.08,(4.19 - 11.96),5.08e-11,***,N/A,N/A,,Riesgo muy alto
60 meses - Desarrollo Socio-Individual,6.40,(3.55 - 11.51),4.74e-08,***,N/A,N/A,,Riesgo muy alto
8 meses - Riesgo Global,3.78,(2.29 - 6.24),1.29e-07,***,N/A,N/A,,Riesgo muy alto
27 meses - Riesgo Global,0.27,(0.14 - 0.52),7.56e-06,***,N/A,N/A,,Protección muy alta
12 meses - Riesgo Global,0.40,(0.25 - 0.62),1.22e-05,***,N/A,N/A,,Protección alta
6 meses - Riesgo Global,0.32,(0.18 - 0.56),1.45e-05,***,N/A,N/A,,Protección muy alta
18 meses - Motricidad Fina,3.58,(2.10 - 6.09),1.76e-05,***,N/A,N/A,,Riesgo muy alto
8 meses - Resolución de Problemas,4.16,(2.30 - 7.52),2.17e-05,***,N/A,N/A,,Riesgo muy alto
6 meses - Motricidad Gruesa,0.15,(0.05 - 0.47),2.18e-05,***,N/A,N/A,,Protección muy alta
42 meses - Motricidad Gruesa,2.87,(1.82 - 4.52),2.56e-05,***,N/A,N/A,,Riesgo alto
