tipo_analisis,descripcion,edad_meses,dominio,chi2,p_value,odds_ratio,ci_lower,ci_upper,ci_95,p_value_formatted,chi2_formatted,or_formatted
OR Edad-Específico,2.0 meses - Motricidad Gruesa,2.0,Motricidad Gruesa,,0.0152203045262707,1.89812030075188,1.1445613130970522,3.1478092391376364,(1.14 - 3.15),0.015,N/A,1.90
OR Edad-Específico,2.0 meses - Desarrollo Socio-Individual,2.0,Desarrollo Socio-Individual,,0.0145748659945283,2.321112515802781,1.2220720940833965,4.408547856628055,(1.22 - 4.41),0.015,N/A,2.32
OR Edad-Específico,4.0 meses - Riesgo Global,4.0,Riesgo Global,,0.000256090310097,2.334841628959276,1.495301241433048,3.6457439352465726,(1.50 - 3.65),2.56e-04,N/A,2.33
OR Edad-Específico,4.0 meses - Comunicación,4.0,Comunicación,,0.0015538937338808,3.14218487394958,1.640144379137383,6.019790640181512,(1.64 - 6.02),0.002,N/A,3.14
OR Edad-Específico,4.0 meses - Motricidad Gruesa,4.0,Motricidad Gruesa,,0.0002032812858872,2.599373040752351,1.6097451641576963,4.197397423787639,(1.61 - 4.20),2.03e-04,N/A,2.60
OR Edad-Específico,6.0 meses - Riesgo Global,6.0,Riesgo Global,,1.4481954654811368e-05,0.3169699534490055,0.1784428002778703,0.5630372939284375,(0.18 - 0.56),1.45e-05,N/A,0.32
OR Edad-Específico,6.0 meses - Comunicación,6.0,Comunicación,,0.039842017689714,0.1626275510204081,0.0224372716578211,1.1787404794235006,(0.02 - 1.18),0.040,N/A,0.16
OR Edad-Específico,6.0 meses - Motricidad Gruesa,6.0,Motricidad Gruesa,,2.1818656498548893e-05,0.1470394736842105,0.0462684241037288,0.4672864321650238,(0.05 - 0.47),2.18e-05,N/A,0.15
OR Edad-Específico,6.0 meses - Motricidad Fina,6.0,Motricidad Fina,,0.0144048007880826,0.2090100268323683,0.0510064685454545,0.8564637498386528,(0.05 - 0.86),0.014,N/A,0.21
OR Edad-Específico,6.0 meses - Resolución de Problemas,6.0,Resolución de Problemas,,0.029137055989805,0.2454590083456062,0.0598135741731178,1.0072985206272251,(0.06 - 1.01),0.029,N/A,0.25
OR Edad-Específico,8.0 meses - Riesgo Global,8.0,Riesgo Global,,1.2886056089098945e-07,3.7809885931558935,2.2894512251341377,6.244236428639093,(2.29 - 6.24),1.29e-07,N/A,3.78
OR Edad-Específico,8.0 meses - Motricidad Fina,8.0,Motricidad Fina,,5.0779118519235e-11,7.081485587583148,4.192739719995262,11.960541668731231,(4.19 - 11.96),5.08e-11,N/A,7.08
OR Edad-Específico,8.0 meses - Resolución de Problemas,8.0,Resolución de Problemas,,2.174432495313005e-05,4.1617250673854445,2.304476290234274,7.515788125007625,(2.30 - 7.52),2.17e-05,N/A,4.16
OR Edad-Específico,9.0 meses - Riesgo Global,9.0,Riesgo Global,,0.0013392249704881,0.3402920608802962,0.1664883334736099,0.6955363434910861,(0.17 - 0.70),0.001,N/A,0.34
