group1,group2,meandiff,p-adj,lower,upper,reject
0-6m,12-18m,0.3487,0.0,0.1521,0.5452,True
0-6m,24-36m,-0.1991,0.0339,-0.39,-0.0081,True
0-6m,6-12m,0.2057,0.0302,0.0107,0.4006,True
12-18m,18-24m,-0.3125,0.0,-0.4891,-0.1359,True
12-18m,24-36m,-0.5477,0.0,-0.7099,-0.3856,True
12-18m,36-48m,-0.5199,0.0,-0.7074,-0.3323,True
12-18m,48-60m,-0.5491,0.0,-0.7442,-0.354,True
12-18m,60m+,-0.6304,0.0,-0.9169,-0.344,True
18-24m,24-36m,-0.2352,0.0008,-0.4055,-0.0649,True
18-24m,36-48m,-0.2074,0.0274,-0.402,-0.0127,True
18-24m,48-60m,-0.2366,0.0092,-0.4385,-0.0347,True
18-24m,60m+,-0.3179,0.0211,-0.6091,-0.0268,True
24-36m,6-12m,0.4047,0.0,0.2446,0.5649,True
36-48m,6-12m,0.3769,0.0,0.191,0.5628,True
48-60m,6-12m,0.4061,0.0,0.2127,0.5996,True
6-12m,60m+,-0.4875,0.0,-0.7728,-0.2021,True
