"diff","lwr","upr","p adj","comparison","significativo"
0.20568982080638,0.0107419207580311,0.400637720854728,0.0301502152351586,"6-12m-0-6m",TRUE
0.348681268987075,0.152125256472598,0.545237281501553,2.30917577459522e-06,"12-18m-0-6m",TRUE
-0.199060013223624,-0.389971158942056,-0.00814886750519206,0.0338959315806753,"24-36m-0-6m",TRUE
-0.404749834030004,-0.564936318836657,-0.24456334922335,4.64162042135285e-12,"24-36m-6-12m",TRUE
-0.3768762848595,-0.562768812238452,-0.190983757480548,2.64844668418363e-08,"36-48m-6-12m",TRUE
-0.406117346938781,-0.599569734160074,-0.212664959717488,6.74653422017002e-09,"48-60m-6-12m",TRUE
-0.487457782774132,-0.772802011632126,-0.202113553916139,6.70856665274666e-06,"60m+-6-12m",TRUE
-0.312506434344654,-0.489117341683753,-0.135895527005555,2.48696554794314e-06,"18-24m-12-18m",TRUE
-0.547741282210699,-0.709881012804539,-0.385601551616859,3.84292597743752e-12,"24-36m-12-18m",TRUE
-0.519867733040196,-0.707446020850019,-0.332289445230372,3.85291798465914e-12,"36-48m-12-18m",TRUE
-0.549108795119477,-0.744181623683446,-0.354035966555507,3.84381415585722e-12,"48-60m-12-18m",TRUE
-0.630449230954828,-0.916894533351104,-0.344003928558552,9.09911035407163e-10,"60m+-12-18m",TRUE
-0.235234847866045,-0.405541078213242,-0.0649286175188482,0.00076319396027047,"24-36m-18-24m",TRUE
-0.207361298695542,-0.402041893300383,-0.0126807040907005,0.0273921937012155,"36-48m-18-24m",TRUE
-0.236602360774822,-0.438514045186541,-0.0346906763631038,0.00920987546528385,"48-60m-18-24m",TRUE
-0.317942796610174,-0.609088518067528,-0.0267970751528196,0.0210595034883332,"60m+-18-24m",TRUE
