group1,group2,meandiff,p-adj,lower,upper,reject
0-6m,18-24m,-0.2717,0.0042,-0.4907,-0.0528,True
0-6m,48-60m,0.2869,0.0058,0.0505,0.5234,True
12-18m,18-24m,-0.2635,0.0007,-0.4537,-0.0734,True
12-18m,24-36m,0.1756,0.0475,0.001,0.3502,True
12-18m,48-60m,0.2952,0.0006,0.0851,0.5052,True
18-24m,24-36m,0.4391,0.0,0.2558,0.6225,True
18-24m,36-48m,0.4013,0.0,0.1916,0.6109,True
18-24m,48-60m,0.5587,0.0,0.3413,0.7761,True
24-36m,6-12m,-0.3248,0.0,-0.4973,-0.1523,True
36-48m,6-12m,-0.287,0.0004,-0.4872,-0.0868,True
48-60m,6-12m,-0.4444,0.0,-0.6527,-0.2361,True
48-60m,60m+,-0.3483,0.0265,-0.6743,-0.0224,True
