group1,group2,meandiff,p-adj,lower,upper,reject
0-6m,12-18m,0.4765,0.0,0.2364,0.7166,True
0-6m,18-24m,0.2575,0.0358,0.0092,0.5059,True
0-6m,24-36m,0.4205,0.0,0.1873,0.6537,True
0-6m,36-48m,0.2921,0.0154,0.032,0.5522,True
0-6m,48-60m,0.6297,0.0,0.3615,0.8979,True
0-6m,6-12m,0.7595,0.0,0.5213,0.9976,True
0-6m,60m+,0.5959,0.0,0.225,0.9668,True
12-18m,18-24m,-0.219,0.0437,-0.4347,-0.0033,True
12-18m,6-12m,0.2829,0.0007,0.0791,0.4868,True
18-24m,48-60m,0.3721,0.0001,0.1255,0.6187,True
18-24m,6-12m,0.5019,0.0,0.2884,0.7154,True
24-36m,6-12m,0.339,0.0,0.1433,0.5346,True
36-48m,48-60m,0.3375,0.002,0.0791,0.596,True
36-48m,6-12m,0.4673,0.0,0.2403,0.6944,True
