group1,group2,meandiff,p-adj,lower,upper,reject
0-6m,12-18m,0.2446,0.009,0.0363,0.4529,True
0-6m,36-48m,-0.2882,0.0028,-0.5138,-0.0625,True
0-6m,60m+,-0.5362,0.0,-0.858,-0.2144,True
12-18m,18-24m,-0.1988,0.0282,-0.3859,-0.0116,True
12-18m,24-36m,-0.1984,0.011,-0.3703,-0.0266,True
12-18m,36-48m,-0.5327,0.0,-0.7315,-0.334,True
12-18m,48-60m,-0.2574,0.0041,-0.4641,-0.0507,True
12-18m,60m+,-0.7808,0.0,-1.0844,-0.4772,True
18-24m,36-48m,-0.334,0.0,-0.5403,-0.1277,True
18-24m,60m+,-0.582,0.0,-0.8906,-0.2735,True
24-36m,36-48m,-0.3343,0.0,-0.5268,-0.1418,True
24-36m,60m+,-0.5824,0.0,-0.8819,-0.2829,True
36-48m,48-60m,0.2753,0.0049,0.0511,0.4996,True
36-48m,6-12m,0.413,0.0,0.216,0.61,True
48-60m,60m+,-0.5234,0.0,-0.8442,-0.2026,True
6-12m,60m+,-0.6611,0.0,-0.9635,-0.3586,True
